week,channel,impressions,clicks,conversions,spend
2025-W01,Social,52000,2100,85,3400
2025-W01,Search,38000,1850,72,2900
2025-W01,Email,15000,980,45,1200
2025-W01,Display,28000,620,18,2100
2025-W02,Social,58000,2400,98,3600
2025-W02,Search,42000,2100,84,3100
2025-W02,Email,17000,1050,50,1250
2025-W02,Display,31000,680,22,2200
2025-W03,Social,65000,2750,112,3800
2025-W03,Search,46000,2300,92,3200
2025-W03,Email,19000,1120,55,1300
2025-W03,Display,35000,750,26,2300
2025-W04,Social,72000,3100,128,4000
2025-W04,Search,51000,2500,101,3400
2025-W04,Email,21000,1200,60,1400
2025-W04,Display,38000,820,30,2400
2025-W05,Social,68000,2900,118,3900
2025-W05,Search,48000,2400,95,3300
2025-W05,Email,20000,1150,57,1350
2025-W05,Display,36000,790,28,2350
2025-W06,Social,76000,3300,135,4200
2025-W06,Search,54000,2650,108,3500
2025-W06,Email,23000,1280,65,1450
2025-W06,Display,40000,860,33,2500
2025-W07,Social,81000,3550,148,4400
2025-W07,Search,58000,2800,115,3600
2025-W07,Email,25000,1350,70,1500
2025-W07,Display,43000,910,36,2600
2025-W08,Social,88000,3900,162,4600
2025-W08,Search,62000,3000,125,3800
2025-W08,Email,27000,1420,75,1550
2025-W08,Display,46000,960,40,2700
